ave(dice),std(dice),ave(IoU),std(IoU),min(dice),min(IoU),max(dice),max(IoU),epoch_loss
0.8442286291253676,0.12475738665454471,0.7470181983545285,0.15507223696875447,0.2909555435180664,0.17024458944797516,0.9637331366539001,0.9300047755241394,82.58550515770912
0.8904690203863547,0.09777134425336405,0.8132263662618234,0.12287462130809089,0.28048616647720337,0.16311946511268616,0.9621983766555786,0.9271506071090698,23.227170918136835
0.9032377446189933,0.09782150571632343,0.8338101508967374,0.11694842789822392,0.24797408282756805,0.14153562486171722,0.9752644896507263,0.9517231583595276,14.63165775500238
0.9077838528046914,0.09439305250878705,0.8408616607615708,0.11442752849896276,0.264146625995636,0.1521710455417633,0.9743595123291016,0.9500010013580322,11.881060093641281
0.9126194876815201,0.08864710719604453,0.8482321007262676,0.11143314755189902,0.2926945388317108,0.17143653333187103,0.9725090861320496,0.9464892148971558,9.69840463809669
0.9196255685539421,0.08307655383316527,0.8590059752037765,0.10272726783890146,0.3102690279483795,0.1836203783750534,0.9726767539978027,0.9468069076538086,8.993758160620928
0.9159982472384741,0.0881098069230031,0.8535887134184531,0.10694273513970172,0.29149192571640015,0.17061197757720947,0.9751940965652466,0.9515891075134277,7.88422666862607
0.9239314171152377,0.08606938645467342,0.8669764530768088,0.10597303355446634,0.28633686900138855,0.1670905351638794,0.9764214158058167,0.95392906665802,7.294719337485731
0.9206786013524467,0.08420855015001813,0.8611140009186683,0.10522386539044122,0.3076806366443634,0.18181003630161285,0.9743379950523376,0.9499601125717163,6.767348200082779
0.9243526942686203,0.08916293368182142,0.8682851467384111,0.10937260803947071,0.2860603332519531,0.16690222918987274,0.9784833192825317,0.9578730463981628,6.392532039433718
0.925719552904094,0.08306680264710538,0.869665353259909,0.10419905065018126,0.32352131605148315,0.1929766982793808,0.9767009019851685,0.9544627070426941,5.988099545240402
0.9245132508627866,0.08186030153919835,0.8673420095935874,0.10268517710311041,0.32977989315986633,0.19744695723056793,0.9793789386749268,0.9595911502838135,5.848672833293676
0.9256138637525226,0.08861255952431205,0.8702006655822107,0.10647604551233131,0.28823068737983704,0.1683817207813263,0.977788507938385,0.9565423130989075,5.5513307973742485
0.9259903813720843,0.08376335829781816,0.8701539209129614,0.10347690719750216,0.316256582736969,0.18782943487167358,0.9776723980903625,0.9563201069831848,5.309277589432895
0.9283329726905998,0.08451679735465173,0.8743515006445963,0.10398839152958775,0.30231359601020813,0.17807388305664062,0.9772354364395142,0.9554842710494995,5.09454495087266
0.9266006137252948,0.08583946916404324,0.8715354372328574,0.10506674310632323,0.29580506682395935,0.17357465624809265,0.9766981601715088,0.9544575810432434,5.085149180144072
0.9291816042103899,0.08322367158871828,0.8756830968441219,0.10357576620817123,0.3219124972820282,0.19183295965194702,0.9775721430778503,0.9561282396316528,4.849115896970034
0.9286561862591209,0.08524185703396375,0.8749938845087629,0.10405584802953383,0.2980858385562897,0.1751473993062973,0.9790629148483276,0.9589845538139343,4.672045092564076
0.9286196734927116,0.08489788778118189,0.8749040764406186,0.10417689138735894,0.3028756380081177,0.17846401035785675,0.9776855707168579,0.95634526014328,4.664018418639898
0.9277122168365969,0.08304608448222059,0.8730348397832398,0.10276240026188842,0.32075250148773193,0.19100967049598694,0.9773683547973633,0.955738365650177,4.56804973166436
0.9274391067137412,0.08538943966134138,0.8728992329278124,0.10434332869491028,0.2957538664340973,0.1735394150018692,0.9784565567970276,0.957821786403656,4.54261141596362
0.9292616275472378,0.08253250445723131,0.8756545088980177,0.10218571532857929,0.3220404386520386,0.1919238418340683,0.978091835975647,0.9571230411529541,4.456508732866496
0.92870351316732,0.08482490250410575,0.8750082679571362,0.1036883498582856,0.2990514934062958,0.17581453919410706,0.978929877281189,0.9587293863296509,4.334550416097045
0.9293196485676897,0.08385921816011788,0.876003941538137,0.10382883482347595,0.3113924562931061,0.18440783023834229,0.9783950448036194,0.9577038884162903,4.346811602823436
0.9278314974876719,0.08479877075574464,0.8735051123647515,0.10402442290647243,0.3017883002758026,0.17770947515964508,0.9779888391494751,0.9569258093833923,4.2976906397379935
0.9280132093560804,0.08560286039589445,0.8739606904874154,0.10482152094902618,0.2967276871204376,0.17421036958694458,0.9775950908660889,0.9561721682548523,4.3027226915583014
0.9286399155581763,0.08536858485304602,0.8750081606414339,0.10446204903667806,0.2985152304172516,0.17544397711753845,0.9790490865707397,0.958958089351654,4.242055419366807
0.928303854454548,0.08415542230777061,0.8742641894095534,0.10395930341922245,0.31082338094711304,0.18400880694389343,0.9787757992744446,0.9584337472915649,4.194913454819471
0.9285511459232471,0.0853157542605935,0.8748510198308788,0.10451738222036983,0.2947070896625519,0.17281904816627502,0.9786961674690247,0.9582810997962952,4.1189865483902395
0.9289067912539211,0.08517833389224966,0.8754324274599006,0.10414796944109743,0.296364963054657,0.1739603579044342,0.9795437455177307,0.959907591342926,4.262320918031037
